id,published_at_utc,title,url,duration_seconds,views,likes,comments,outlier_multiplier,engagement_rate_percent
5ZqolNRkxvM,2026-05-18T17:18:50+00:00,The Hunt for America's Weirdest Killer,https://www.youtube.com/watch?v=5ZqolNRkxvM,2485,4366555,106191,4300,1.07,2.63
vcUGp_94uBk,2026-05-10T15:01:26+00:00,The CIA's Most Valuable Spy,https://www.youtube.com/watch?v=vcUGp_94uBk,1841,5598415,92352,2700,1.37,1.75
MqCk9APctNk,2026-05-03T14:00:35+00:00,The Addiction That Is Ruining China,https://www.youtube.com/watch?v=MqCk9APctNk,1802,3816730,91340,5700,0.93,2.69
SOQynHuWPeI,2026-04-26T15:00:44+00:00,Facebook's Most Dangerous App,https://www.youtube.com/watch?v=SOQynHuWPeI,1276,2715317,66410,3800,0.66,2.73
uI8oJYmCaz0,2026-04-19T14:01:30+00:00,How One Man Survived Air India 171,https://www.youtube.com/watch?v=uI8oJYmCaz0,1285,2345016,55182,4100,0.57,2.7
9ABD2t4K2wQ,2026-04-12T14:00:12+00:00,The World's Deadliest Child,https://www.youtube.com/watch?v=9ABD2t4K2wQ,950,2278085,55169,3900,0.56,2.76
j7vnAq3_TVs,2026-04-05T14:01:05+00:00,The Hunt for the First Dark Web King,https://www.youtube.com/watch?v=j7vnAq3_TVs,1440,2756620,65607,2900,0.67,2.59
H33dcy-2r_U,2026-03-29T14:00:29+00:00,The Most Dangerous Job in Crime,https://www.youtube.com/watch?v=H33dcy-2r_U,1335,3258168,100960,3700,0.8,3.33
PSHQ_MuxxNw,2026-03-22T15:00:38+00:00,The Bank Heist of the Century,https://www.youtube.com/watch?v=PSHQ_MuxxNw,1353,5501981,163770,5700,1.35,3.18
dSgwNvydXhI,2026-03-14T15:00:58+00:00,Why everyone hates Lego now,https://www.youtube.com/watch?v=dSgwNvydXhI,1801,3416564,83910,7900,0.84,2.92
TjBc7kD5ffM,2026-03-09T15:59:25+00:00,The 13-Year Investigation Into Flight 103,https://www.youtube.com/watch?v=TjBc7kD5ffM,1686,3724629,83983,4300,0.91,2.49
_SH-lINJoZQ,2026-03-02T22:01:04+00:00,How Iran’s Leader Was Killed,https://www.youtube.com/watch?v=_SH-lINJoZQ,837,7826953,195118,13000,1.92,2.83
hhjhU5MXZOo,2026-02-26T21:33:28+00:00,The Strangest Drug Ever Studied,https://www.youtube.com/watch?v=hhjhU5MXZOo,2138,5219705,136267,8300,1.28,2.93
VKXQnBlzqzs,2026-02-15T15:00:48+00:00,The Only Nazi Hitler Feared,https://www.youtube.com/watch?v=VKXQnBlzqzs,1130,7535567,127491,6400,1.85,1.86
-1DvXSsWKLI,2026-02-05T16:31:08+00:00,Why the U.S. President Is Almost Impossible to Kill,https://www.youtube.com/watch?v=-1DvXSsWKLI,1632,6671828,125133,7000,1.63,2.09
Q7pgDmR-pWg,2026-01-25T15:00:43+00:00,Disneyland’s Most Preventable Tragedy,https://www.youtube.com/watch?v=Q7pgDmR-pWg,1804,3227447,82350,4200,0.79,2.81
-a29Ygyzc2c,2026-01-20T15:00:01+00:00,The $1 Billion Coca-Cola Machine,https://www.youtube.com/watch?v=-a29Ygyzc2c,1005,4185868,101126,6400,1.02,2.72
yXdzKqhEA9M,2026-01-11T15:01:48+00:00,Why Otto Warmbier Didn't Survive North Korea,https://www.youtube.com/watch?v=yXdzKqhEA9M,2239,6386130,133716,23000,1.56,2.81
ydnpyYEhP30,2026-01-04T15:01:47+00:00,How Cocaine Is Destroying Europe,https://www.youtube.com/watch?v=ydnpyYEhP30,2241,2892687,84036,5800,0.71,3.31
78vWO2SCfEk,2025-12-23T15:00:13+00:00,The Hunt for the Lost Communist Console,https://www.youtube.com/watch?v=78vWO2SCfEk,1070,1268593,41824,2800,0.31,3.74
LAPcW7OAv98,2025-12-14T17:00:35+00:00,We Investigated China's Secret Highway,https://www.youtube.com/watch?v=LAPcW7OAv98,2155,4168366,125105,7100,1.02,3.34
TP7Z_Eqxhxk,2025-12-07T15:00:55+00:00,How Peter Thiel Is Destroying Democracy,https://www.youtube.com/watch?v=TP7Z_Eqxhxk,2137,2970198,99715,8100,0.73,3.9
tpn8_ZpQ-Ho,2025-11-27T16:59:28+00:00,The Insane Waterpark That Killed 6 People,https://www.youtube.com/watch?v=tpn8_ZpQ-Ho,1472,2821518,74624,6000,0.69,3.07
zVgj3dFjWhs,2025-11-21T15:02:06+00:00,How a Cult Took Over Fiji,https://www.youtube.com/watch?v=zVgj3dFjWhs,2263,3699207,87054,3600,0.91,2.55
wLFY_Zu_O08,2025-11-12T15:01:54+00:00,How an FBI Agent Infiltrated the KKK,https://www.youtube.com/watch?v=wLFY_Zu_O08,2464,14852938,358594,11000,3.64,2.56
K4E1u3_S1p8,2025-11-04T15:30:48+00:00,How Meth Is Killing Europe,https://www.youtube.com/watch?v=K4E1u3_S1p8,1811,3462436,105279,8000,0.85,3.5
HauQtcj7UTM,2025-10-29T17:50:45+00:00,The Dumb Design of Modern Cars,https://www.youtube.com/watch?v=HauQtcj7UTM,1511,5554400,180767,15000,1.36,3.79
pt309onrQNE,2025-10-18T14:11:11+00:00,The Family That Broke News,https://www.youtube.com/watch?v=pt309onrQNE,3388,4350256,90334,4900,1.07,2.3
j4OKo0VpoeM,2025-10-12T13:01:22+00:00,The Mutated Animals of Chernobyl,https://www.youtube.com/watch?v=j4OKo0VpoeM,1071,4318320,119959,5100,1.06,3.01
8Gm7kSUkBAk,2025-10-08T15:10:53+00:00,Camp 14: The Most Horrible Place in North Korea,https://www.youtube.com/watch?v=8Gm7kSUkBAk,1257,5465368,124768,8700,1.34,2.6
1aQutbZq0v0,2025-09-29T13:00:04+00:00,How Egypt is Flooding the Desert,https://www.youtube.com/watch?v=1aQutbZq0v0,1472,2284183,52922,4000,0.56,2.67
Aj7HX7I8KHs,2025-09-21T13:00:27+00:00,The Most Evil Secret Police in History,https://www.youtube.com/watch?v=Aj7HX7I8KHs,1364,2265368,57693,3000,0.55,2.81
